schedule_season,schedule_week,team_home,score_home,score_away,team_away,winner
1979,Super Bowl,Los Angeles Rams,19,31,Pittsburgh Steelers,Pittsburgh Steelers
1980,Super Bowl,Oakland Raiders,27,10,Philadelphia Eagles,Oakland Raiders
1981,Super Bowl,San Francisco 49ers,26,21,Cincinnati Bengals,San Francisco 49ers
1982,Super Bowl,Miami Dolphins,17,27,Washington Redskins,Washington Redskins
1983,Super Bowl,Washington Redskins,9,38,Los Angeles Raiders,Los Angeles Raiders
1984,Super Bowl,San Francisco 49ers,38,16,Miami Dolphins,San Francisco 49ers
1985,Super Bowl,Chicago Bears,46,10,New England Patriots,Chicago Bears
1986,Super Bowl,New York Giants,39,20,Denver Broncos,New York Giants
1987,Super Bowl,Denver Broncos,10,42,Washington Redskins,Washington Redskins
1988,Super Bowl,San Francisco 49ers,20,16,Cincinnati Bengals,San Francisco 49ers
1989,Super Bowl,San Francisco 49ers,55,10,Denver Broncos,San Francisco 49ers
1990,Super Bowl,Buffalo Bills,19,20,New York Giants,New York Giants
1991,Super Bowl,Washington Redskins,37,24,Buffalo Bills,Washington Redskins
1992,Super Bowl,Dallas Cowboys,52,17,Buffalo Bills,Dallas Cowboys
1993,Super Bowl,Dallas Cowboys,30,13,Buffalo Bills,Dallas Cowboys
1994,Super Bowl,San Francisco 49ers,49,26,San Diego Chargers,San Francisco 49ers
1995,Super Bowl,Dallas Cowboys,27,17,Pittsburgh Steelers,Dallas Cowboys
1996,Super Bowl,Green Bay Packers,35,21,New England Patriots,Green Bay Packers
1997,Super Bowl,Green Bay Packers,24,31,Denver Broncos,Denver Broncos
1998,Super Bowl,Denver Broncos,34,19,Atlanta Falcons,Denver Broncos
1999,Super Bowl,St. Louis Rams,23,16,Tennessee Titans,St. Louis Rams
2000,Super Bowl,Baltimore Ravens,34,7,New York Giants,Baltimore Ravens
2001,Super Bowl,St. Louis Rams,17,20,New England Patriots,New England Patriots
2002,Super Bowl,Oakland Raiders,21,48,Tampa Bay Buccaneers,Tampa Bay Buccaneers
2003,Super Bowl,New England Patriots,32,29,Carolina Panthers,New England Patriots
2004,Super Bowl,Philadelphia Eagles,21,24,New England Patriots,New England Patriots
2005,Super Bowl,Pittsburgh Steelers,21,10,Seattle Seahawks,Pittsburgh Steelers
2006,Super Bowl,Indianapolis Colts,29,17,Chicago Bears,Indianapolis Colts
2007,Super Bowl,New England Patriots,14,17,New York Giants,New York Giants
2008,Super Bowl,Arizona Cardinals,23,27,Pittsburgh Steelers,Pittsburgh Steelers
2009,Super Bowl,Indianapolis Colts,17,31,New Orleans Saints,New Orleans Saints
2010,Super Bowl,Green Bay Packers,31,25,Pittsburgh Steelers,Green Bay Packers
2011,Super Bowl,New England Patriots,17,21,New York Giants,New York Giants
2012,Super Bowl,San Francisco 49ers,31,34,Baltimore Ravens,Baltimore Ravens
2013,Super Bowl,Denver Broncos,8,43,Seattle Seahawks,Seattle Seahawks
2014,Super Bowl,Seattle Seahawks,24,28,New England Patriots,New England Patriots
2015,Super Bowl,Denver Broncos,24,10,Carolina Panthers,Denver Broncos
2016,Super Bowl,Atlanta Falcons,28,34,New England Patriots,New England Patriots
2017,Super Bowl,New England Patriots,33,41,Philadelphia Eagles,Philadelphia Eagles
2018,Super Bowl,Los Angeles Rams,3,13,New England Patriots,New England Patriots
2019,Super Bowl,Kansas City Chiefs,31,20,San Francisco 49ers,Kansas City Chiefs
2020,Super Bowl,Tampa Bay Buccaneers,31,9,Kansas City Chiefs,Tampa Bay Buccaneers
2021,Super Bowl,Cincinnati Bengals,20,23,Los Angeles Rams,Los Angeles Rams
2022,Super Bowl,Philadelphia Eagles,35,38,Kansas City Chiefs,Kansas City Chiefs
2023,Super Bowl,Kansas City Chiefs,25,22,San Francisco 49ers,Kansas City Chiefs
2024,Super Bowl,Philadelphia Eagles,40,22,Kansas City Chiefs,Philadelphia Eagles
